StationID,Year,Season,AverageTemp,MaxTemp,MinTemp
99999900210,2017,Spring,58.04,74.50,24.70
99999900210,2017,Summer,72.47,80.20,63.10
99999900210,2017,Winter,43.53,61.60,12.40
99999900210,2018,Fall,58.72,83.00,25.40
99999900210,2018,Spring,55.79,77.00,31.20
99999900210,2018,Summer,73.78,81.50,64.60
99999900210,2018,Winter,41.62,66.10,12.30
99999900210,2019,Fall,60.27,78.60,27.00
99999900210,2019,Spring,57.88,75.90,28.80
99999900210,2019,Summer,73.05,85.60,60.10
99999900210,2019,Winter,43.38,64.20,17.20
99999900210,2020,Fall,59.44,77.20,37.50
99999900210,2020,Spring,57.02,74.40,37.60
99999900210,2020,Summer,73.52,80.20,59.90
99999900210,2020,Winter,41.87,73.70,18.10
99999900210,2021,Fall,57.01,73.50,29.40
99999900210,2021,Spring,56.12,74.50,34.80
99999900210,2021,Summer,73.72,82.40,64.90
99999900210,2021,Winter,42.03,62.40,25.40
99999900210,2022,Fall,56.78,76.20,30.50
99999900210,2022,Spring,57.90,74.50,25.10
99999900210,2022,Summer,73.85,81.80,63.70
99999900210,2022,Winter,39.77,64.30,2.40
99999900210,2023,Fall,59.72,75.20,35.50
99999900210,2023,Spring,56.27,70.60,31.00
99999900210,2023,Summer,72.01,79.70,56.90
99999900210,2023,Winter,44.92,66.00,28.50
99999900210,2024,Fall,59.59,73.80,26.60
99999900210,2024,Spring,58.48,72.40,37.30
99999900210,2024,Summer,73.95,81.20,61.80
99999900210,2024,Winter,40.63,61.50,14.90
99999900210,2025,Spring,48.49,67.60,33.40
99999900210,2025,Winter,36.65,60.00,12.90
99999900234,2015,Fall,61.54,83.60,33.70
99999900234,2015,Spring,58.98,76.90,20.80
99999900234,2015,Summer,78.40,86.50,62.10
99999900234,2015,Winter,38.95,67.40,14.80
99999900234,2016,Fall,64.27,81.60,37.70
99999900234,2016,Spring,60.76,77.10,39.60
99999900234,2016,Summer,80.14,87.70,72.90
99999900234,2016,Winter,39.86,65.90,19.00
99999900234,2017,Fall,62.31,81.80,37.70
99999900234,2017,Spring,61.39,79.10,30.80
99999900234,2017,Summer,78.01,87.60,69.70
99999900234,2017,Winter,45.49,66.10,17.20
99999900234,2018,Fall,59.48,83.70,29.80
99999900234,2018,Spring,60.32,84.00,38.10
99999900234,2018,Summer,80.08,87.70,70.10
99999900234,2018,Winter,42.90,61.70,31.20
99999900234,2019,Fall,60.88,81.20,24.10
99999900234,2019,Spring,57.93,81.10,22.70
99999900234,2019,Summer,78.40,92.70,66.10
99999900234,2019,Winter,41.44,61.80,23.20
99999900234,2020,Fall,60.41,79.00,39.90
99999900234,2020,Spring,60.05,79.90,42.00
99999900234,2020,Summer,79.58,86.40,70.50
99999900234,2020,Winter,41.61,59.80,23.40
99999900234,2021,Fall,61.80,78.30,34.90
99999900234,2021,Spring,60.20,81.10,40.90
99999900234,2021,Summer,79.64,91.10,64.20
99999900234,2021,Winter,40.60,67.30,6.20
99999900234,2022,Fall,60.03,82.90,32.50
99999900234,2022,Spring,60.49,82.50,28.20
99999900234,2022,Summer,80.54,89.30,71.40
99999900234,2022,Winter,37.94,60.90,3.00
99999900234,2023,Fall,61.75,79.60,35.90
99999900234,2023,Spring,61.12,81.10,32.20
99999900234,2023,Summer,78.43,87.40,69.30
99999900234,2023,Winter,45.77,64.50,23.50
99999900234,2024,Fall,62.94,79.20,32.50
99999900234,2024,Spring,64.22,78.90,41.80
99999900234,2024,Summer,78.82,86.20,69.00
99999900234,2024,Winter,42.24,68.50,6.90
99999900234,2025,Spring,58.79,75.30,39.50
99999900234,2025,Winter,36.35,58.60,14.20
99999900236,2015,Fall,54.59,80.60,17.50
99999900236,2015,Spring,48.77,73.50,8.80
99999900236,2015,Summer,69.85,80.40,54.90
99999900236,2015,Winter,24.18,55.10,-2.90
99999900236,2016,Fall,55.79,80.40,26.40
99999900236,2016,Spring,49.56,74.00,17.30
99999900236,2016,Summer,72.04,81.60,59.60
99999900236,2016,Winter,25.35,52.00,-2.50
99999900236,2017,Fall,52.64,79.30,20.30
99999900236,2017,Spring,48.18,75.40,18.00
99999900236,2017,Summer,69.45,83.60,57.10
99999900236,2017,Winter,27.87,56.80,-1.70
99999900236,2018,Fall,48.39,77.90,22.40
99999900236,2018,Spring,46.54,81.10,24.00
99999900236,2018,Summer,71.54,84.80,62.40
99999900236,2018,Winter,25.55,45.90,-5.40
99999900236,2019,Fall,49.56,75.20,12.30
99999900236,2019,Spring,45.60,72.80,0.00
99999900236,2019,Summer,69.82,83.00,57.50
99999900236,2019,Winter,23.60,47.90,-17.30
99999900236,2020,Fall,50.55,70.20,31.90
99999900236,2020,Spring,47.57,77.50,29.30
99999900236,2020,Summer,72.52,83.50,58.60
99999900236,2020,Winter,27.00,42.00,0.00
99999900236,2021,Fall,53.33,74.20,21.30
99999900236,2021,Spring,49.97,76.60,24.10
99999900236,2021,Summer,72.99,85.60,59.40
99999900236,2021,Winter,24.08,54.70,-5.60
99999900236,2022,Fall,51.24,75.50,18.60
99999900236,2022,Spring,47.31,82.90,12.80
99999900236,2022,Summer,70.99,85.40,56.80
99999900236,2022,Winter,21.20,43.70,-7.20
99999900236,2023,Fall,53.06,81.50,17.80
99999900236,2023,Spring,48.27,75.30,17.40
99999900236,2023,Summer,71.46,88.30,53.80
99999900236,2023,Winter,31.35,52.00,-5.00
99999900236,2024,Fall,53.81,75.10,16.50
99999900236,2024,Spring,50.94,71.80,28.40
99999900236,2024,Summer,71.14,86.90,59.50
99999900236,2024,Winter,29.27,59.20,-3.30
99999900236,2025,Spring,43.00,59.70,23.10
99999900236,2025,Winter,22.00,45.00,-4.90
99999900237,2015,Fall,49.32,78.00,17.90
99999900237,2015,Spring,43.56,66.90,-3.70
99999900237,2015,Summer,66.38,75.70,53.30
99999900237,2015,Winter,18.71,40.00,-8.30
99999900237,2016,Fall,49.60,70.70,23.10
99999900237,2016,Spring,44.90,70.00,14.40
99999900237,2016,Summer,66.95,79.30,55.30
99999900237,2016,Winter,21.16,38.50,-9.90
99999900237,2017,Fall,46.36,77.70,10.20
99999900237,2017,Spring,42.57,62.90,10.30
99999900237,2017,Summer,64.97,76.80,54.60
99999900237,2017,Winter,20.39,46.80,-14.00
99999900237,2018,Fall,39.60,75.60,10.80
99999900237,2018,Spring,41.58,76.40,15.60
99999900237,2018,Summer,67.40,79.10,49.60
99999900237,2018,Winter,16.85,35.10,-10.30
99999900237,2019,Fall,44.47,72.90,7.90
99999900237,2019,Spring,39.51,66.60,-6.00
99999900237,2019,Summer,65.95,75.80,54.00
99999900237,2019,Winter,14.04,35.80,-23.60
99999900237,2020,Fall,43.53,66.80,19.50
99999900237,2020,Spring,42.80,69.10,23.50
99999900237,2020,Summer,68.59,80.40,55.10
99999900237,2020,Winter,19.88,36.50,-6.00
99999900237,2021,Fall,47.93,70.70,19.10
99999900237,2021,Spring,44.89,72.70,16.90
99999900237,2021,Summer,69.35,81.90,48.60
99999900237,2021,Winter,16.69,41.10,-19.00
99999900237,2022,Fall,46.22,74.00,15.90
99999900237,2022,Spring,40.46,72.80,4.40
99999900237,2022,Summer,67.01,84.10,56.00
99999900237,2022,Winter,11.37,33.00,-14.40
99999900237,2023,Fall,51.65,79.00,25.20
99999900237,2023,Spring,41.44,72.20,11.10
99999900237,2023,Summer,67.15,79.40,55.50
99999900237,2023,Winter,23.24,46.70,-10.30
99999900237,2024,Fall,49.46,75.10,13.30
99999900237,2024,Spring,45.10,71.30,20.40
99999900237,2024,Summer,66.97,79.80,56.10
99999900237,2024,Winter,23.82,45.40,-7.50
99999900237,2025,Spring,36.92,58.90,15.80
99999900237,2025,Winter,12.85,42.60,-17.00
99999900238,2015,Fall,49.49,77.40,17.40
99999900238,2015,Spring,43.61,70.70,-4.20
99999900238,2015,Summer,67.14,76.40,56.60
99999900238,2015,Winter,16.36,39.30,-8.60
99999900238,2016,Fall,48.69,70.20,19.30
99999900238,2016,Spring,45.57,70.40,14.60
99999900238,2016,Summer,67.80,77.00,56.30
99999900238,2016,Winter,17.92,39.60,-17.20
99999900238,2017,Fall,44.33,74.50,10.90
99999900238,2017,Spring,42.67,64.70,6.40
99999900238,2017,Summer,66.68,79.20,55.70
99999900238,2017,Winter,18.56,47.80,-16.40
99999900238,2018,Fall,40.11,75.90,5.80
99999900238,2018,Spring,41.17,77.60,13.80
99999900238,2018,Summer,68.42,79.40,56.20
99999900238,2018,Winter,14.66,34.30,-11.40
99999900238,2019,Fall,43.63,75.00,6.60
99999900238,2019,Spring,38.48,70.80,-12.00
99999900238,2019,Summer,66.98,77.20,55.60
99999900238,2019,Winter,10.77,33.00,-29.60
99999900238,2020,Fall,43.13,67.50,15.80
99999900238,2020,Spring,41.93,68.90,20.30
99999900238,2020,Summer,69.66,82.80,60.80
99999900238,2020,Winter,17.25,34.40,-12.60
99999900238,2021,Fall,48.16,72.70,13.40
99999900238,2021,Spring,44.79,74.60,13.70
99999900238,2021,Summer,71.14,83.40,55.90
99999900238,2021,Winter,14.76,37.90,-16.90
99999900238,2022,Fall,44.88,74.20,14.60
99999900238,2022,Spring,40.05,69.30,4.50
99999900238,2022,Summer,69.69,87.10,61.80
99999900238,2022,Winter,9.09,31.80,-17.80
99999900238,2023,Fall,47.77,81.30,12.20
